transaction_id,branch,client_id,client_name,transaction_date,amount,currency,narrative
TXN02674,Eldoret,CL472,Client_2674,2022-06-03,904413.85,KES,Dormant account reactivated with high-value transfers to China.
TXN00308,Kisumu,CL401,Client_308,2024-07-16,357146.03,KES,Domestic transfer to supplier with matching invoice and contract.
TXN02897,Eldoret,CL657,Client_2897,2024-05-27,225099.62,KES,Multiple cash deposits just below reporting threshold over 3 days.
TXN00563,Kisumu,CL985,Client_563,2022-08-09,994293.08,KES,Customer activity consistent with historical pattern over last 12 months.
TXN02967,Mombasa,CL253,Client_2967,2022-01-14,2017267.58,KES,Third-party deposits followed by immediate outward remittances.
TXN00713,Westlands,CL851,Client_713,2023-02-04,369001.74,KES,Domestic transfer to supplier with matching invoice and contract.
TXN00335,Mombasa,CL915,Client_335,2022-08-21,1069373.81,KES,Customer activity consistent with historical pattern over last 12 months.
TXN01620,Nairobi_Main,CL149,Client_1620,2023-09-16,4129228.48,KES,Dormant account reactivated with high-value transfers to UK.
TXN02743,Nairobi_Main,CL186,Client_2743,2022-11-19,557077.85,KES,Salary deposit verified with updated KYC; payslips on file.
TXN00931,Mombasa,CL518,Client_931,2023-06-05,366355.82,KES,Incoming payment from verified business partner; documentation reviewed.
TXN00306,Mombasa,CL773,Client_306,2023-10-22,586618.03,KES,Incoming payment from verified business partner; documentation reviewed.
TXN01308,Mombasa,CL774,Client_1308,2022-07-25,536926.61,KES,Customer activity consistent with historical pattern over last 12 months.
TXN02512,Kisumu,CL351,Client_2512,2024-03-13,2403744.57,KES,Dormant account reactivated with high-value transfers to Tanzania.
TXN00055,Mombasa,CL827,Client_55,2024-06-28,3715038.39,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.
TXN00634,Kisumu,CL167,Client_634,2022-11-02,400786.14,KES,Salary deposit verified with updated KYC; payslips on file.
TXN02306,Kisumu,CL960,Client_2306,2022-05-16,4765642.81,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN00242,Mombasa,CL154,Client_242,2022-05-26,498662.35,KES,Domestic transfer to supplier with matching invoice and contract.
TXN00594,Nairobi_Main,CL806,Client_594,2024-11-24,682531.17,KES,Incoming payment from verified business partner; documentation reviewed.
TXN02121,Kisumu,CL469,Client_2121,2023-09-27,2925075.34,KES,Incoming payment from verified business partner; documentation reviewed.
TXN02797,Nairobi_Main,CL789,Client_2797,2023-11-28,807089.2,KES,Customer activity consistent with historical pattern over last 12 months.
TXN00277,Mombasa,CL736,Client_277,2023-07-04,621158.64,KES,Customer activity consistent with historical pattern over last 12 months.
TXN00153,Mombasa,CL657,Client_153,2024-09-19,335703.19,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN00519,Westlands,CL720,Client_519,2022-05-26,579275.01,KES,Domestic transfer to supplier with matching invoice and contract.
TXN02263,Nairobi_Main,CL262,Client_2263,2024-09-27,1283431.02,KES,Domestic transfer to supplier with matching invoice and contract.
TXN01780,Mombasa,CL284,Client_1780,2023-06-13,332802.77,KES,Customer activity consistent with historical pattern over last 12 months.
TXN01893,Westlands,CL453,Client_1893,2022-01-29,991776.14,KES,Dormant account reactivated with high-value transfers to China.
TXN01181,Westlands,CL307,Client_1181,2024-07-14,1727014.47,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.
TXN00492,Westlands,CL494,Client_492,2024-06-26,1522647.11,KES,Salary deposit verified with updated KYC; payslips on file.
TXN00263,Mombasa,CL554,Client_263,2024-02-18,79448.11,KES,Dormant account reactivated with high-value transfers to Tanzania.
TXN02026,Nairobi_Main,CL107,Client_2026,2022-03-08,614580.18,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN02194,Mombasa,CL470,Client_2194,2022-11-23,430689.8,KES,Third-party deposits followed by immediate outward remittances.
TXN00173,Eldoret,CL425,Client_173,2023-03-29,511973.84,KES,Incoming payment from verified business partner; documentation reviewed.
TXN01712,Kisumu,CL771,Client_1712,2023-11-26,496695.87,KES,Domestic transfer to supplier with matching invoice and contract.
TXN01429,Mombasa,CL879,Client_1429,2023-02-18,462833.41,KES,Salary deposit verified with updated KYC; payslips on file.
TXN01355,Nairobi_Main,CL354,Client_1355,2023-09-08,360931.23,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN00953,Eldoret,CL539,Client_953,2023-06-17,476210.15,KES,Multiple cash deposits just below reporting threshold over 3 days.
TXN02854,Kisumu,CL195,Client_2854,2024-02-23,630569.71,KES,Customer activity consistent with historical pattern over last 12 months.
TXN02024,Eldoret,CL554,Client_2024,2023-05-11,452282.22,KES,Frequent transfers to M-Pesa agents; smurfing suspected.
TXN02257,Westlands,CL713,Client_2257,2023-05-20,1005324.74,KES,Incoming payment from verified business partner; documentation reviewed.
TXN01137,Westlands,CL210,Client_1137,2024-08-27,1242491.68,KES,Customer activity consistent with historical pattern over last 12 months.
TXN00213,Westlands,CL407,Client_213,2024-06-26,3466311.39,KES,Dormant account reactivated with high-value transfers to Uganda.
TXN00075,Nairobi_Main,CL147,Client_75,2022-07-23,139000.03,KES,Large transfer to foreign account in Hong Kong without updated KYC.
TXN02141,Westlands,CL847,Client_2141,2023-09-09,1703652.03,KES,Frequent transfers to M-Pesa agents; smurfing suspected.
TXN00990,Kisumu,CL801,Client_990,2022-09-26,550630.95,KES,Salary deposit verified with updated KYC; payslips on file.
TXN01924,Westlands,CL805,Client_1924,2024-11-01,1821775.58,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.
TXN02274,Mombasa,CL489,Client_2274,2022-11-10,553438.93,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN00903,Nairobi_Main,CL807,Client_903,2023-02-26,551347.95,KES,Incoming payment from verified business partner; documentation reviewed.
TXN01219,Westlands,CL525,Client_1219,2023-05-26,301117.87,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN01338,Nairobi_Main,CL220,Client_1338,2024-11-21,437254.73,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN02167,Eldoret,CL788,Client_2167,2022-11-07,306324.34,KES,Incoming payment from verified business partner; documentation reviewed.
TXN00885,Westlands,CL400,Client_885,2024-10-16,870936.23,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN01827,Westlands,CL950,Client_1827,2024-07-18,251883.17,KES,Salary deposit verified with updated KYC; payslips on file.
TXN01758,Mombasa,CL822,Client_1758,2024-09-22,1052850.9,KES,Salary deposit verified with updated KYC; payslips on file.
TXN02458,Mombasa,CL981,Client_2458,2024-02-25,638951.07,KES,Incoming payment from verified business partner; documentation reviewed.
TXN02307,Kisumu,CL697,Client_2307,2024-07-03,826294.18,KES,Customer activity consistent with historical pattern over last 12 months.
TXN01215,Nairobi_Main,CL246,Client_1215,2024-07-01,1126409.04,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.
TXN00869,Kisumu,CL821,Client_869,2023-08-14,856818.16,KES,Salary deposit verified with updated KYC; payslips on file.
TXN01714,Mombasa,CL485,Client_1714,2024-08-24,3149264.56,KES,Dormant account reactivated with high-value transfers to Mauritius.
TXN01499,Nairobi_Main,CL922,Client_1499,2024-01-31,3691916.56,KES,Customer refused to provide source of funds documentation.
TXN00989,Westlands,CL223,Client_989,2023-09-04,462927.2,KES,Incoming payment from verified business partner; documentation reviewed.
TXN00774,Nairobi_Main,CL808,Client_774,2022-05-03,1067455.26,KES,Domestic transfer to supplier with matching invoice and contract.
TXN02099,Eldoret,CL194,Client_2099,2022-08-19,182110.49,KES,FX purchase supported by trade documents and tax compliance certificate.
TXN00682,Westlands,CL395,Client_682,2022-09-15,245159.37,KES,Salary deposit verified with updated KYC; payslips on file.
TXN02556,Kisumu,CL975,Client_2556,2022-12-18,2376563.7,KES,Large transfer to foreign account in Somalia without updated KYC.
TXN01846,Eldoret,CL521,Client_1846,2023-04-26,263188.93,KES,Customer activity consistent with historical pattern over last 12 months.
