transaction_id,branch,client_id,client_name,transaction_date,amount,currency,narrative,label
TXN00001,Kisumu,CL666,Client_1,2024-02-08,765052.63,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00002,Eldoret,CL776,Client_2,2024-02-18,490516.89,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00003,Kisumu,CL917,Client_3,2023-05-20,850331.86,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00004,Kisumu,CL257,Client_4,2024-02-18,5784698.91,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00005,Kisumu,CL209,Client_5,2022-07-07,1189759.76,KES,Dormant account reactivated with high-value transfers to Tanzania.,Non-Compliant
TXN00006,Kisumu,CL879,Client_6,2023-07-07,1189777.34,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00007,Westlands,CL541,Client_7,2024-07-08,1632215.69,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00008,Nairobi_Main,CL191,Client_8,2023-12-26,2930522.39,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00009,Nairobi_Main,CL398,Client_9,2024-04-27,389012.96,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00010,Eldoret,CL348,Client_10,2024-12-03,790003.01,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00011,Westlands,CL242,Client_11,2023-07-05,390665.75,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00012,Mombasa,CL249,Client_12,2022-05-10,390033.99,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00013,Kisumu,CL531,Client_13,2023-09-06,640096.09,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00014,Kisumu,CL357,Client_14,2023-05-21,262510.87,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00015,Nairobi_Main,CL238,Client_15,2023-09-16,311008.01,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00016,Eldoret,CL489,Client_16,2023-11-06,364542.61,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00017,Mombasa,CL935,Client_17,2022-10-06,590338.86,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
